ReceiptIndex,Match,MatchedPairs,Model,Temperature,MaxTokens,BATCH_SIZE_PRODUCTS,CONFIDENCE_THRESHOLD,NUM_RECEIPTS
0,no,"[{""ReceiptItem"": null, ""ItemPrice"": 6.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.49, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
1,no,"[{""ReceiptItem"": null, ""ItemPrice"": 4.9, ""MatchedProduct"": ""DUREX FRAGOLA GEL LUBRIF 50ML"", ""Confidence"": 0.3, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.25, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.99, ""MatchedProduct"": ""BURN CANDELE RECKITT AIR WICK STD COMPL VANIGLIA & ZUCCHERO 1"", ""Confidence"": 0.5, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.49, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
2,no,"[{""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.79, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 15.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 15.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.19, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
3,yes,"[{""ReceiptItem"": null, ""ItemPrice"": 0.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 0.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.99, ""MatchedProduct"": ""BURN CANDELE RECKITT AIR WICK STD COMPL VANIGLIA & ZUCCHERO 1"", ""Confidence"": 0.75, ""Match"": ""yes""}, {""ReceiptItem"": null, ""ItemPrice"": 4.8, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": ""Calgon Gel 2250 ml"", ""Confidence"": 0.6, ""Match"": ""yes""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.69, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.8, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.69, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 0.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 0.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.8, ""MatchedProduct"": ""INAC AER RECKITT AIR WICK PURE COMPL SPRING DELIGHT 250 1 AER (1)"", ""Confidence"": 0.2, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 4.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.69, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.8, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.69, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
4,yes,"[{""ReceiptItem"": null, ""ItemPrice"": 6.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 6.9, ""MatchedProduct"": ""DUREX FRAGOLA GEL LUBRIF 50ML"", ""Confidence"": 0.9, ""Match"": ""yes""}, {""ReceiptItem"": null, ""ItemPrice"": 6.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.65, ""MatchedProduct"": ""Calgon Gel 2250 ml"", ""Confidence"": 0.7, ""Match"": ""yes""}, {""ReceiptItem"": null, ""ItemPrice"": 6.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
5,no,"[{""ReceiptItem"": null, ""ItemPrice"": 2.49, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 15.0, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 1.49, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.29, ""MatchedProduct"": ""Vanisch Gel Rosa 750 ml"", ""Confidence"": 0.2, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 2.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
6,yes,"[{""ReceiptItem"": null, ""ItemPrice"": 1.29, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 6.99, ""MatchedProduct"": ""DUREX FRAGOLA GEL LUBRIF 50ML"", ""Confidence"": 0.25, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 6.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 6.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 9.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 9.9, ""MatchedProduct"": ""DUREX FRAGOLA GEL LUBRIF 50ML"", ""Confidence"": 0.6, ""Match"": ""yes""}]",gpt-oss:20b,0.3,512,100,0.6,3
7,no,"[{""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 3.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 9.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
8,no,"[{""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 5.9, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
9,no,"[{""ReceiptItem"": null, ""ItemPrice"": 4.99, ""MatchedProduct"": null, ""Confidence"": 0.0, ""Match"": ""no""}, {""ReceiptItem"": null, ""ItemPrice"": 15.0, ""MatchedProduct"": ""BURN CANDELE RECKITT AIR WICK STD COMPL VANIGLIA & ZUCCHERO 1"", ""Confidence"": 0.2, ""Match"": ""no""}]",gpt-oss:20b,0.3,512,100,0.6,3
