id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario
1;Fater;ACE CANDEGGINA GREEN Tabs;;8001480715431;;
2;Fater;ACE GREEN PAVIMENTI x1200 ml;;8001480715486;;
3;Fater;ACE  GREEN Ecoricarica Pavimenti;;8001480715462;;
4;Fater;ACE CAND+ CANDEGGINA MAXI TABS AR.F 10X18 PZ;;8001480718135;;
5;Fater;ACE CAND+ CANDEGGINA MAXI TABS FR.P 10X18 PZ;;8001480718142;;
6;Fater;ACE CANDEGGINA SPRAY PROFESSIONAL 750 ml;;8001480707610;;
7;Fater;ACE CANDEGGINA SPRAY PROFESSIONAL 750ML;;8001480707498;;
8;Fater;ACE CLORO BOTTIGLIA x5L;;8001480720589;;
9;Fater;ACE CLORO Spray x750ml;;8001480720596;;
10;Fater;ACE CLORO Tabs x18;;8001480720619;;
11;Fater;ACE CLORO WC Gel x750ml;;8001480720602;;
12;Fater;ACE DET LIQ CLASS 2PACK 25Lv;;8001480029415;;
13;Fater;ACE DET LIQ CLASS 2PACK 30Lv;;8001480029422;;
14;Fater;ACE DET LIQ CLASS 3PACK 25Lv;;8001480029439;;
15;Fater;ACE DET LIQ CLASS 3PACK 30Lv;;8001480029446;;
16;Fater;ACE DET LIQ CLASS 4PACK 25Lv;;8001480029453;;
17;Fater;ACE DET LIQ CLASS 4PACK 30Lv;;8001480029460;;
18;Fater;ACE DET LIQ CLASS SING 25Lv;;8001480029392;;
19;Fater;ACE DET LIQ CLASS SING 30Lv;;8001480029408;;
20;Fater;ACE DET LIQ CLASSICA 2PACK 18 LV;;8001480704251;;
21;Fater;ACE DET LIQ CLASSICA 3PACK 18 LV;;8001480704282;;
22;Fater;ACE DET LIQ CLASSICA 3PACK 36Lv;;8001480715721;;
23;Fater;ACE DET LIQ CLASSICA 4PACK 18 LV;;8001480704312;;
24;Fater;ACE DET LIQ CLASSICA SING 18 LV;;8001480704213;;
25;Fater;ACE DET LIQ CLASSICA SING 36 LV;;8001480715691;;
26;Fater;ACE DET LIQ COLOR 2PACK 18 LV;;8001480704268;;
27;Fater;ACE DET LIQ COLOR 2PACK 23/20/25;;8001480029491;;
28;Fater;ACE DET LIQ COLOR 36 LV;;8001480715707;;
29;Fater;ACE DET LIQ COLOR 3PACK 18 LV;;8001480704299;;
30;Fater;ACE DET LIQ COLOR 3PACK 23/20/25;;8001480029514;;
31;Fater;ACE DET LIQ COLOR 3PACK 26/30Lv;;8001480029521;;
32;Fater;ACE DET LIQ COLOR 3PACK 36Lv;;8001480715738;;
33;Fater;ACE DET LIQ COLOR 4PACK 18 LV;;8001480704794;;
34;Fater;ACE DET LIQ COLOR 4PACK 20/25Lv;;8001480029538;;
35;Fater;ACE DET LIQ COLOR SING 18 LV;;8001480704220;;
36;Fater;ACE DET LIQ COLOR SING 25L;;8001480029477;;
37;Fater;ACE DET LIQ COLOR SING 30Lv;;8001480029484;;
38;Fater;ACE DET LIQ COLORATI 2PACK 26/30;;8001480029507;;
39;Fater;ACE DET LIQ DISINFETTANTE 1PACK 23 LV;;8001480715196;;
40;Fater;ACE DET LIQ DISINFETTANTE 2PACK 16 LV;;8001480715202;;
41;Fater;ACE DET LIQ DISINFETTANTE 3PACK 16 LV;;8001480715165;;
42;Fater;ACE DET LIQ DISINFETTANTE 3PACK 23 LV;;8001480715189;;
43;Fater;ACE DET LIQ DISINFETTANTE SING 16 LV;;8001480715172;;
44;Fater;ACE DET LIQ ENERGY AROM 2PACK 18 LV;;8001480704275;;
45;Fater;ACE DET LIQ ENERGY AROM 2PACK 25Lv;;8001480029583;;
46;Fater;ACE DET LIQ ENERGY AROM 2PACK 30Lv;;8001480029590;;
47;Fater;ACE DET LIQ ENERGY AROM 36 LV;;8001480715714;;
48;Fater;ACE DET LIQ ENERGY AROM 3PACK 18 LV;;8001480704305;;
49;Fater;ACE DET LIQ ENERGY AROM 3PACK 25Lv;;8001480029606;;
50;Fater;ACE DET LIQ ENERGY AROM SING 18 LV;;8001480704244;;
51;Fater;ACE DET LIQ ENERGY AROM SING 25Lv;;8001480029569;;
52;Fater;ACE DET LIQ ENERGY AROM SING 30Lv;;8001480029576;;
53;Fater;ACE DET LIQ PROFESSIONAL CLASSICA 63lv;;8001480719675;;
54;Fater;ACE DET LIQ PROFESSIONAL CLASSICA 70Lv;;8001480705661;;
55;Fater;ACE DET LIQ PROFESSIONAL COLOR 63lv;;8001480719682;;
56;Fater;ACE DET LIQ PROFESSIONAL COLOR 70lv;;8001480706255;;
57;Fater;ACE DET POLV PROFES.95Lv;;8001480705470;;
58;Fater;ACE DET POLV SPEC.PACK 50;;8001480026148;;
59;Fater;ACE DET POLV SPEC.PACK 82;;8001480026155;;
60;Fater;ACE DET POLVERE 18/23;;8001480705449;;
61;Fater;ACE GENTILE GREEN Tabs;;8001480715448;;
62;Fater;ACE GENTILE PROFUMATA 1,75+0,25L;;8001480021167;;
63;Fater;ACE GENTILE PROFUMATA 1L;;8001480021129;;
64;Fater;ACE GENTILE PROFUMATA 2,75L;;8001480023659;;
65;Fater;ACE GENTILE PROFUMATA 2L;;8001480021143;;
66;Fater;ACE GENTILE PROFUMATA 3L;;8001480021198;;
67;Fater;ACE GENTILE PROFUMATA BIPACCO 2x2L;;8001480021211;;
68;Fater;ACE GENTILE PROFUMATA BIPACCO 2x3L;;8001480055681;;
69;Fater;ACE GENTILE RE 1,75+0,25L;;8001480021150;;
70;Fater;ACE GENTILE REGOLARE 2L;;8001480719125;;
71;Fater;ACE GENTILE REGOLARE 3L;;8001480021174;;
72;Fater;ACE GENTILE REGOLARE BIPACCO  2x2L;;8001480021204;;
73;Fater;ACE GENTILE REGOLARE BIPACCO 2x3L;;8001480055674;;
74;Fater;ACE GENTILE REGOLARE1L;;8001480021112;;
75;Fater;ACE GENTILE REGOLARE2,75L;;8001480023642;;
76;Fater;ACE GENTILE REGOLARE2L;;8001480021136;;
77;Fater;ACE GENTILE REGOLAREBIPACCO  2x2L;;8001480719149;;
78;Fater;ACE GREEN cassa mista;;8001480718210;;
79;Fater;ACE GREEN Ecoricarica Multiuso;;8001480715455;;
80;Fater;ACE GREEN Expo Mix (TABS+SPR+PAVIMENTI) 52pz;;8001480717930;;
81;Fater;ACE GREEN Expo Mix Tabs (CANDEGGINA+GENT)48pz;;8001480718128;;
82;Fater;ACE GREEN Spray x500 ml;;8001480715479;;
83;Fater;Ace Igiene+ Liquid 2,6lt;;8001480703179;;
84;Fater;Ace Igiene+ Liquid 900ml;;8001480055940;;
85;Fater;ACE PAVIMENTI cassa mista (3xTalco+3xIgien+) x1300ml;;8001480709690;;
86;Fater;ACE PAVIMENTI con candeggina Agrumi X1000ml;;8001480021280;;
87;Fater;ACE PAVIMENTI con candeggina Eucalipto X1000ml;;8001480021297;;
88;Fater;ACE PAVIMENTI Hyg. Igien+ BIPACCO 2x1000ml;;8001480710320;;
89;Fater;ACE PAVIMENTI Hyg. Igien+ x1000ml;;8001480708488;;
90;Fater;ACE PAVIMENTI Hyg. Igien+ x1300ml;;8001480708495;;
91;Fater;ACE PAVIMENTI Hyg. Lavanda BIPACCO 2x1000ml;;8001480704886;;
92;Fater;ACE PAVIMENTI Hyg. Lavanda BIPACCO 2x1300ml;;8001480704893;;
93;Fater;ACE PAVIMENTI Hyg. Lavanda SRP 8x1000ml;;8001480717893;;
94;Fater;ACE PAVIMENTI Hyg. Lavanda X1000ml;;8001480703919;;
95;Fater;ACE PAVIMENTI Hyg. Lavanda X1300ml;;8001480703926;;
96;Fater;ACE PAVIMENTI Hyg. Talco BIPACCO 2x1000ml;;8001480704862;;
97;Fater;ACE PAVIMENTI Hyg. Talco BIPACCO 2x1300ml;;8001480704879;;
98;Fater;ACE PAVIMENTI Hyg. Talco SRP 8x1000ml;;8001480717879;;
99;Fater;ACE PAVIMENTI Hyg. Talco X1000ml;;8001480703339;;
100;Fater;ACE PAVIMENTI Hyg. Talco X1300ml;;8001480703322;;
101;Fater;ACE PAVIMENTI Igienizzante+ SRP 8x1000ml;;8001480717916;;
102;Fater;ACE Sgrass. CD MIX 2 (Mars/Lav) 600ml BS;;8001480722408;;
103;Fater;ACE Sgrass. CD Mix 4 600ml BS;;8001480722385;;
104;Fater;ACE Sgrass. CD MONO Bagno Antic 600ml BS;;8001480722422;;
105;Fater;ACE Sgrass. CD MONO Cucina 600ml BS;;8001480722415;;
