id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note;tipo
1;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Muschio Bianco ml220;Chanteclair Profumatore per Bucato Concentrato Muschio Bianco 220 ml;8015194524005;;;Chanteclair i Concentrati Profuma Biancheria Muschio Bianco 220 ml;Prodotto trovato su GS1;obbligatorio
2;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Sali Marini e Fiori di Loto ml220;Chanteclair Profumatore per Bucato Concentrato Sali Marini e Fiori di Loto 220 ml;8015194524029;;;Chanteclair i Concentrati Profuma Biancheria Sali Marini e Fior di Loto 220 ml;Prodotto trovato su GS1;obbligatorio
3;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Fiori di Arancio e Narciso ml220;Chanteclair Profumatore per Bucato Concentrato Fiori d'Arancio e Narciso 220 ml;8015194524036;;;Chanteclair i Concentrati Profuma Biancheria Fiori di Arancio e Narciso 220 ml;Prodotto trovato su GS1;obbligatorio
4;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Orchidea e Fico ml220;Chanteclair Profumatore per Bucato Concentrato Orchidea e Fico 220 ml;8015194530389;;;Chanteclair i Concentrati Orchidea e Fico Profuma Biancheria 220 ml;Prodotto trovato su GS1;obbligatorio
5;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Vaniglia e Argan ml220;Chanteclair Profumatore per Bucato Concentrato Vaniglia e Argan 220 ml;8015194530396;;;Chanteclair i Concentrati Vaniglia e Argan Profuma Biancheria 220 ml;Prodotto trovato su GS1;obbligatorio
6;REAL CHIMICA;CHANTECLAIR Profumatore Bucato Peonia e Magnolia ml220;Chanteclair Profumatore per Bucato Concentrato Peonia e Magnolia 220 ml;8015194524012;;;Chanteclair i Concentrati Profuma Biancheria Peonia e Magnolia 220 ml;Prodotto trovato su GS1;obbligatorio
7;REAL CHIMICA;CHANTECLAIR Ammorbidente Concentrato Deo Action 45 Lav.;Chanteclair Ammorbidente Concentrato DeoAction 45 Lavaggi 900 ml;8015194523992;;;Chanteclair Ammorbidente DeoAction 900 ml;Prodotto trovato su GS1;obbligatorio
8;REAL CHIMICA;CHANTECLAIR Ammorbidente Concentrato Fiori d'Arancio e Narciso 57 Lav. 1140ml;Chanteclair Ammorbidente Concentrato Fiori d'Arancio e Narciso 57 Lavaggi 1140 ml;8015194522490;;;Chanteclair i Concentrati Fiori di Arancio e Narciso Ammorbidente Concentrato 1140 ml;Prodotto trovato su GS1;obbligatorio
9;REAL CHIMICA;CHANTECLAIR Ammorbidente Concentrato Fiori d'Arancio e Narciso 70 Lav. 1140ml;Chanteclair Ammorbidente Concentrato Fiori d'Arancio e Narciso 70 Lavaggi 1400 ml;8015194528478;;;Chanteclair i Concentrati Fiori di Arancio e Narciso Ammorbidente 1400 ml;Prodotto trovato su GS1;obbligatorio
10;REAL CHIMICA;CHANTECLAIR Ammorbidente Concentrato Muschio Bianco 57 Lav. 1140ml;Chanteclair Ammorbidente Concentrato Muschio Bianco 57 Lavaggi 1140 ml;8015194522513;;;Chanteclair i Concentrati Muschio Bianco Ammorbidente Concentrato 1140 ml;Prodotto trovato su GS1;obbligatorio
11;REAL CHIMICA;CHANTECLAIR Ammorbidente Concentrato Muschio Bianco 70 Lav. 1140ml;Chanteclair Ammorbidente Concentrato Muschio Bianco 70 Lavaggi 1400 ml;8015194528461;;;Chanteclair i Concentrati Muschio Bianco Ammorbidente 1400 ml;Prodotto trovato su GS1;obbligatorio
