id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario
1;P&G;iO2 Series Night Black + Travel Case;Oral-B iO Series 2 Spazzolino Elettrico, 1 Manico Night Black, 1 Testina, 1 Custodia da Viaggio;8700216612159;;
2;P&G;iO2 Series Forest Green + Travel Case;Oral-B iO Series 2 Spazzolino Elettrico, 1 Manico Forest Green, 1 Testina, 1 Custodia da Viaggio;8700216612258;;
3;P&G;iO2 Series Calm Pink + Travel Case;Oral-B iO Series 2 Spazzolino Elettrico, 1 Manico Calm Pink, 1 Testina, 1 Custodia da Viaggio;8700216612210;;
4;P&G;iO2 Series Sensi Edition;Oral-B iO Series 2 Spazzolino Elettrico Edizione Speciale, 1 Manico White, 1 Testina Gentle Care, 1 Custodia da Viaggio;8700216612593;;
5;P&G;iO2 Cortina + TC + 3 refill;Oral-B iO Series 2 Spazzolino Elettrico Edizione Speciale, 1 Manico Blue, 3 Testine, 1 Custodia da Viaggio;8006530068420;;
6;P&G;iO3 - Black NO TC;Oral-B iO Series 3 Spazzolino Elettrico, 1 Manico Black, 1 Testina;8006540730898;;
7;P&G;iO3 - Blue NO TC;Oral-B iO Series 3 Spazzolino Elettrico, 1 Manico Blue, 1 Testina;8006540730935;;
8;P&G;iO3 - Pink NO TC;Oral-B iO Series 3 Spazzolino Elettrico, 1 Manico Rosa, 1 Testina;8006540730843;;
9;P&G;iO5 S Black + TC;Oral-B iO Series 5 Spazzolino Elettrico, 1 Manico Black, 1 Testina, 1 Custodia da Viaggio;4210201414964;;
10;P&G;iO5 S White + TC;Oral-B iO Series 5 Spazzolino Elettrico, 1 Manico White, 1 Testina, 1 Custodia da Viaggio;4210201414926;;
11;P&G;iO5 S Green + TC;Oral-B iO Series 5 Spazzolino Elettrico, 1 Manico Green, 1 Testina, 1 Custodia da Viaggio;8700216840514;;
12;P&G;iO6 S black;Oral-B iO Series 6 Spazzolino Elettrico, 1 Manico Black, 1 Testina, 1 Custodia da Viaggio;4210201409137;;
13;P&G;iO9 S BLACK;Oral-B iO Series 9s Spazzolino Elettrico, 1 Manico Onyx Black, 1 Testina, Custodia da Viaggio con Ricarica Power2Go;4210201408864;;
14;P&G;iO9 S WHITE;Oral-B iO Series 9s Spazzolino Elettrico, 1 Manico White Alabaster, 1 Testina, Custodia da Viaggio con Ricarica Power2Go;4210201408840;;
15;P&G;iO9S Blue;Oral-B iO Series 9s Spazzolino Elettrico, 1 Manico Blue, 1 Testina, Custodia da Viaggio con Ricarica Power2Go;8700216840644;;
16;P&G;iO10 BLACK;Oral-B iO Series 10 Spazzolino Elettrico con Caricatore iO Sense, 1 Manico Stardust Black, 1 Testina, Custodia da Viaggio con Ricarica;4210201435648;;
17;P&G;OB PW REFILL iO GENTLE CLEAN BLACK X8;Oral-B iO Testine di Ricambio Gentle Care, Confezione da 8, Black;8700216778602;;
18;P&G;OB PW REFILL iO GENTLE CLEAN WHITE X3;Oral-B iO Testine di Ricambio Gentle Care, Confezione da 4, White;8700216373739;;
19;P&G;OB PW REFILL iO GENTLE CLEAN BLACK X3;Oral-B iO Testine di Ricambio Gentle Care, Confezione da 2, Black;8700216456968;;
20;P&G;OB PW REFILL iO ULTRA CLEAN BLACK X3;Oral-B iO Testine di Ricambio Ultimate Clean, Confezione da 2, Black;8700216456753;;
21;P&G;OB PW REFILL iO ULTRA CLEAN WHITE X3;Oral-B iO Testine di Ricambio Ultimate Clean, Confezione da 2, White;8700216373470;;
22;P&G;OB PW REFILL iO 3D WHITE - BLACK X3;Oral-B iO Testine di Ricambio Radiant White, Black;8700216457118;;
23;P&G;OB PW REFILL iO ULTRA CLEAN BLACK X2;Oral-B iO Testine di Ricambio Ultimate Clean, Confezione da 2, Black;8700216456876;;
24;P&G;OB PW REFILL iO ULTRA CLEAN WHITE X2;Oral-B iO Testine di Ricambio Ultimate Clean, Confezione da 2, White;8700216456869;;
25;P&G;OB PW REFILL iO GENTLE CLEAN WHITE X2;Oral-B iO Testine di Ricambio Gentle Care, Confezione da 2, White;8700216373487;;
26;P&G;OB PW REFILL iO GENTLE CLEAN BLACK X2;Oral-B iO Testine di Ricambio Gentle Care, Confezione da 2, Black;8700216457033;;
27;P&G;OB PW REFILL IO INTERDENTAL 2CT;Oral-B iO Testine di Ricambio Specialised Clean, Confezione da 2;8700216373654;;
