id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;P&G;LENOR AMETISTA & BOUQUET 40 LAV X12 PZ;Lenor Ammorbidente Concentrato Ametista e Bouquet Floreale, 40 Lavaggi;8006540891728;;;Lenor Ammorbidente Lavatrice Concentrato, Ametista Rosa e Note di Muschio, 40 Lavaggi 840 ml;Prodotto trovato su GS1
2;P&G;LENOR AMETISTA & BOUQUET 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Ametista e Bouquet Floreale, 54 Lavaggi;8006540891100;;;Lenor Ammorbidente Lavatrice Concentrato, Ametista Rosa e Note di Muschio, 54 Lavaggi 1134 ml;Prodotto trovato su GS1
3;P&G;LENOR AMETISTA & BOUQUET 86 LAV X6 PZ;Lenor Ammorbidente Concentrato Ametista e Bouquet Floreale, 86 Lavaggi;8006540891360;;;Lenor Ammorbidente Lavatrice Concentrato, Ametista Rosa e Note di Muschio, 86 Lavaggi 1806 ml;Prodotto trovato su GS1
4;P&G;LENOR CAPRI 40 LAV X12 PZ;Lenor Ammorbidente Concentrato Risveglio Primaverile, 40 Lavaggi;8006540891643;;;Lenor Ammorbidente Lavatrice Concentrato, fresca brezza di Capri 40 Lavaggi 840 ml;Prodotto trovato su GS1
5;P&G;LENOR CAPRI 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Risveglio Primaverile, 54 Lavaggi;8006540891261;;;Lenor Ammorbidente Lavatrice Concentrato, fresca brezza di Capri 54 Lavaggi 1134 ml;Prodotto trovato su GS1
6;P&G;LENOR CAPRI 86 LAV X6 PZ;Lenor Ammorbidente Concentrato Risveglio Primaverile, 86 Lavaggi;8006540891131;;;Lenor Ammorbidente Lavatrice Concentrato, fresca brezza di Capri 86 Lavaggi 1806 ml;Prodotto trovato su GS1
7;P&G;LENOR ELISIR AMALFITANA 25 LAV X8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Amalfi, 25 Lavaggi;8006540891964;;;Lenor Ammorbidente Elisir Sogno di Costiera Amalfitana 25 Lavaggi 525 ml;Prodotto trovato su GS1
8;P&G;LENOR ELISIR CALABRIA 25 LAV X8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Calabria, 25 Lavaggi;8006540892138;;;Lenor Ammorbidente Elisir Sogno di Calabria 25 Lavaggi 525 ml;Prodotto trovato su GS1
9;P&G;LENOR ELISIR CALABRIA 43 LAV X12 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Calabria, 43 Lavaggi;8006540891919;;;;Prodotto non trovato su GS1
10;P&G;LENOR ELISIR CALABRIA 68 LAV;Lenor Ammorbidente Concentrato Elisir Sogno di Calabria, 68 Lavaggi;8700216492508;;;Lenor Ammorbidente Elisir Sogno di Calabria 68 Lavaggi 1428 ml;Prodotto trovato su GS1
11;P&G;LENOR ELISIR PUGLIA 25 LAV X8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Puglia, 25 Lavaggi;8006540891933;;;Lenor Elisir Ammorbidente Lavatrice Concentrato, Sogno di Puglia, 25 Lavaggi 525 ml;Prodotto trovato su GS1
12;P&G;LENOR ELISIR SARDEGNA 25 LAVX 8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Sardegna, 25 Lavaggi;8006540904855;;;Lenor Elisir Ammorbidente Lavatrice Concentrato, Sogno di Sardegna, 25 Lavaggi 525 ml;Prodotto trovato su GS1
13;P&G;LENOR ELISIR SICILIA 25 LAV X8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Sicilia, 25 Lavaggi;8006540892152;;;Lenor Ammorbidente Elisir Sogno di Sicilia 25 Lavaggi 525 ml;Prodotto trovato su GS1
14;P&G;LENOR ELISIR SICILIA 43 LAV X12 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Sicilia, 43 Lavaggi;8006540904824;;;;Prodotto non trovato su GS1
15;P&G;LENOR ELISIR SICILIA 68 LAV;Lenor Ammorbidente Concentrato Elisir Sogno di Sicilia, 68 Lavaggi;8700216492515;;;Lenor Ammorbidente Elisir Sogno di Sicilia 68 Lavaggi 1428 ml;Prodotto trovato su GS1
16;P&G;LENOR ELISIR TOSCANA 25 LAV X8 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Toscana, 25 Lavaggi;8006540892176;;;Lenor Ammorbidente Elisir Sogno di Toscana 25 Lavaggi 525 ml;Prodotto trovato su GS1
17;P&G;LENOR ELISIR TOSCANA 43 LAV X12 PZ;Lenor Ammorbidente Concentrato Elisir Sogno di Toscana, 43 Lavaggi;8006540892091;;;;Prodotto non trovato su GS1
18;P&G;LENOR ELISIR TOSCANA 68 LAV;Lenor Ammorbidente Concentrato Elisir Sogno di Toscana, 68 Lavaggi;8700216492478;;;Lenor Ammorbidente Elisir Sogno di Toscana 68 Lavaggi 1428 ml;Prodotto trovato su GS1
19;P&G;LENOR FRESH 6X140G BR2-UNS- IT;Lenor Unstoppables Profumatore per Bucato in Perle Fresh, 140g;8001090886385;;;;Prodotto non trovato su GS1
20;P&G;LENOR FRESH 6X210G BR2-UNS--IT/RO/GR;Lenor Unstoppables Profumatore per Bucato in Perle Fresh, 210g;8001090866783;;;Lenor Unstoppables Profumo per il Bucato Fresh 210 g;Prodotto trovato su GS1
21;P&G;LENOR GELSOMINO SCARLATTO 40 LAV X12 PZ;Lenor Ammorbidente Concentrato Gelsomino Scarlatto 40 Lavaggi;8006540891483;;;Lenor Ammorbidente Lavatrice Concentrato, Gelsomino Scarlatto e Rose de Mai 40 Lavaggi 840 ml;Prodotto trovato su GS1
22;P&G;LENOR GELSOMINO SCARLATTO 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Gelsomino Scarlatto 54 Lavaggi;8006540891001;;;Lenor Ammorbidente Lavatrice Concentrato, Gelsomino Scarlatto e Rose de Mai 1134 ml;Prodotto trovato su GS1
23;P&G;LENOR GELSOMINO SCARLATTO 86 LAV X6 PZ;Lenor Ammorbidente Concentrato Gelsomino Scarlatto 86 Lavaggi;8006540891308;;;Lenor Ammorbidente Lavatrice Concentrato, Gelsomino Scarlatto e Rose de Mai 86 Lavaggi 1806 ml;Prodotto trovato su GS1
24;P&G;LENOR LAVANDA 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Lavanda e Camomilla 54 Lavaggi;8006540892046;;;Lenor Ammorbidente Lavatrice Concentrato, Lavanda e Camomilla 54 Lavaggi 1134 ml;Prodotto trovato su GS1
25;P&G;LENOR LAVANDA 86 LAV X6 PZ;Lenor Ammorbidente Concentrato Lavanda e Camomilla 86 Lavaggi;8006540892015;;;Lenor Ammorbidente Lavatrice Concentrato, Lavanda e Camomilla, 86 Lavaggi 1806 ml;Prodotto trovato su GS1
26;P&G;LENOR LAVISH 6X140G BR2-UNS-IT;Lenor Unstoppables Profumatore per Bucato in Perle Lavish 140g;8001090886422;;;;Prodotto non trovato su GS1
27;P&G;LENOR LAVISH 6X210G BR2-UNS-IT/RO/GR;Lenor Unstoppables Profumatore per Bucato in Perle Lavish 210g;8001090866905;;;Lenor Unstoppables Profumo per il Bucato Lavish 210 g;Prodotto trovato su GS1
28;P&G;LENOR ORO & FIORI 40 LAV X12 PZ;Lenor Ammorbidente Concentrato Oro e Fiori di Vaniglia 40 Lavaggi;8006540891469;;;Lenor Ammorbidente Lavatrice Concentrato, Oro e Fiori di Vaniglia, 40 Lavaggi 840 ml;Prodotto trovato su GS1
29;P&G;LENOR ORO & FIORI 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Oro e Fiori di Vaniglia 54 Lavaggi;8006540891056;;;Lenor Ammorbidente Lavatrice Concentrato, Oro e Fiori di Vaniglia, 54 Lavaggi 1134 ml;Prodotto trovato su GS1
30;P&G;LENOR PANAREA 54 LAV X8 PZ;Lenor Ammorbidente Concentrato Brezza di Panarea 54 Lavaggi;8006540891346;;;Lenor Ammorbidente Lavatrice Concentrato, tramonto estivo di Panarea 54 Lavaggi 1134 ml;Prodotto trovato su GS1
31;P&G;LENOR PER. GELSOMINO SCARL. 210GR X6 PZ;Lenor Perle Profumatore per Bucato Gelsomino Scarlatto 210g;8006540780978;;;Lenor profumo per il bucato Gelsomino Scarlatto 210 g;Prodotto trovato su GS1
32;P&G;LENOR PER. OROFIORI VANIGLIA 210GR X6 PZ;Lenor Perle Profumatore per Bucato Oro e Fiori di Vaniglia 210g;8001090891273;;;Lenor profumo per il bucato Oro e Fiori di Vaniglia 210 g;Prodotto trovato su GS1
33;P&G;LENOR PER. RISV. PRIMAVERILE 210GR X6 PZ;Lenor Perle Profumatore per Bucato Risveglio Primaverile 210g;8001090891099;;;Lenor profumo per il bucato Risveglio Primaverile 210 g;Prodotto trovato su GS1
34;P&G;LENOR PERLE 570g Risveglio Primaverile;Lenor Unstoppables Profumatore per Bucato in Perle Risveglio Primaverile 570g;8006540755327;;;Lenor Profumo per il bucato Spring Awakening 570 g;Prodotto trovato su GS1
35;P&G;LENOR PERLE 570gr Oro&Risveglio;Lenor Unstoppables Profumatore per Bucato in Perle Oro e Fiori di Vaniglia 570g;8006540755297;;;Lenor Profumo per il bucato Gold Orchid 570 g;Prodotto trovato su GS1
36;P&G;LENOR PERLE AMETISTA 210GR X 6 PZ;Lenor Perle Profumatore per Bucato Ametista e Bouquet Fiorito 210g;8001090891181;;;Lenor profumo per il bucato Ametista & Bouquet Fiorito 210 g;Prodotto trovato su GS1
