0;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;Henkel;Vernel Diluito Blu Oxygen 1,452L;Vernel Ammorbidente Diluito Blu Oxygen 1,452L;8015100578108;;;VERNEL Diluito Blu Oxygen 1,452 L;Prodotto trovato su GS1
2;Henkel;Vernel Diluito Lavanda 1,452L;Vernel Ammorbidente Diluito Lavanda 1,452L;8015100578122;;;VERNEL Diluito Lavanda 1,452 L;Prodotto trovato su GS1
3;Henkel;Vernel Diluito Blu Oxygen 2,97L;Vernel Ammorbidente Diluito Blu Oxygen 2,97L;8015100578115;;;VERNEL Diluito Blu Oxygen 2,970 L;Prodotto trovato su GS1
4;Henkel;Vernel Diluito Lavanda 2,97L;Vernel Ammorbidente Diluito Lavanda 2,97L;8015100578160;;;VERNEL Diluito Lavanda 2,970 L;Prodotto trovato su GS1
5;Henkel;Vernel Concentrato Aromatherapy Sogni di Loto 700ml;Vernel Ammorbidente Concentrato Aromatherapy+ Sogni di Loto 700ml;8015100573639;;;VERNEL Concentrato Aromatherapy Sogni di Loto 700ml;Prodotto trovato su GS1
6;Henkel;Vernel Concentrato Aromatherapy Fascino di Frangipani 700ml;Vernel Ammorbidente Concentrato Aromatherapy+ Fascino di Frangipani 700ml;8015100573684;;;VERNEL Concentrato Aromatherapy Fascino di Frangipani 700ml;Prodotto trovato su GS1
7;Henkel;Vernel Concentrato Lavanda 700ml;Vernel Ammorbidente Concentrato Lavanda 700ml;8015100573721;;;VERNEL Concentrato Lavanda 700ml;Prodotto trovato su GS1
8;Henkel;Vernel Concentrato Blu Oxygen 700ml;Vernel Ammorbidente Concentrato Blu Oxygen 700ml;8015100573691;;;VERNEL Concentrato Blu Oxygen 700ml;Prodotto trovato su GS1
9;Henkel;Vernel Concentrato Fresh Control Freschezza Glaciale 700ml;Vernel Ammorbidente Concentrato Fresh Control Freschezza Glaciale 700ml;8015100574612;;;VERNEL Concentrato Fresh Control Freschezza Glaciale 700ml;Prodotto trovato su GS1
10;Henkel;Vernel Concentrato Fresh Control Freschezza Floreale 700ml;Vernel Ammorbidente Concentrato Fresh Control Freschezza Floreale 700ml;8015100574605;;;VERNEL Concentrato Fresh Control Freschezza Floreale 700ml;Prodotto trovato su GS1
11;Henkel;Vernel Concentrato Blu Oxygen 1,2L;Vernel Ammorbidente Concentrato Blu Oxygen 1,2L;8015100576715;;;VERNEL Concentrato Blu Oxygen 1,2L;Prodotto trovato su GS1
12;Henkel;Vernel Concentrato Lavanda 1,2L;Vernel Ammorbidente Concentrato Lavanda 1,2L;8015100576708;;;VERNEL Concentrato Lavanda 1,2L;Prodotto trovato su GS1
13;Henkel;Vernel Concentrato Aromatherapy Fascino di Frangipani 1,15L;Vernel Ammorbidente Concentrato Aromatherapy+ Fascino di Frangipani 1,15L;8015100576722;;;VERNEL Concentrato Aromatherapy Fascino di Frangipani 1,15L;Prodotto trovato su GS1
14;Henkel;Vernel Concentrato Aromatherapy Sogni di Loto 1,15L;Vernel Ammorbidente Concentrato Aromatherapy+ Sogni di Loto 1,15L;8015100576739;;;VERNEL Concentrato Aromatherapy Sogni di Loto 1,15L;Prodotto trovato su GS1
